Date,First,Second,Third,Fourth,Fifth,Sixth,Bonus,Winning prize
"29 June, 2020",3,9,17,38,39,41,13,"$1,000,000"
"25 June, 2020",23,37,42,43,47,49,34,"$2,468,698"
"02 April, 2020",4,11,14,23,28,47,24,"$1,033,972"
"30 March, 2020",1,7,17,29,30,43,31,"$2,465,944"
"26 March, 2020",7,12,13,19,42,46,29,
"23 March, 2020",10,30,35,39,42,49,18,"$1,072,420"
"19 March, 2020",8,19,27,33,37,47,18,"$8,856,507"
"16 March, 2020",2,15,19,40,47,48,27,"$4,889,114"
"12 March, 2020",1,3,18,34,36,49,16,"$2,679,178"
"09 March, 2020",4,11,14,22,29,47,6,"$1,179,023"
"05 March, 2020",12,14,30,37,38,40,42,"$2,724,901"
"02 March, 2020",11,37,39,41,42,46,43,"$1,178,708"
"27 February, 2020",10,32,35,36,46,49,40,"$9,310,169"
"24 February, 2020",11,24,26,29,42,47,25,"$4,952,282"
"20 February, 2020",7,19,26,31,34,40,6,"$2,681,534"
"17 February, 2020",17,19,23,30,42,45,13,
"13 February, 2020",5,7,19,23,44,48,45,"$2,643,278"
"10 February, 2020",8,12,15,17,32,46,20,"$1,130,626"
"07 February, 2020",10,15,16,21,24,49,2,"$12,000,000"
"03 February, 2020",6,9,23,34,42,49,22,"$3,444,812"
"30 January, 2020",7,20,29,41,47,49,28,"$1,408,411"
"27 January, 2020",3,32,38,43,46,48,34,"$5,423,334"
"23 January, 2020",9,14,36,38,40,47,30,"$2,916,845"
"20 January, 2020",11,18,20,22,27,37,39,"$1,162,939"
"17 January, 2020",1,11,24,28,45,48,23,"$12,047,766"
"13 January, 2020",2,3,4,13,16,33,14,
"09 January, 2020",12,24,34,38,46,47,28,"$2,567,053"
"06 January, 2020",2,7,11,15,26,47,33,"$1,060,518"
"03 January, 2020",13,15,21,23,30,35,25,"$5,000,001"
"30 December, 2019",3,12,13,35,36,40,33,
"26 December, 2019",8,16,20,24,25,36,13,"$2,642,314"
"23 December, 2019",1,15,35,41,42,43,28,"$1,128,795"
"19 December, 2019",19,21,27,36,40,44,2,"$9,006,308"
"16 December, 2019",4,10,22,23,40,42,7,"$4,873,885"
"12 December, 2019",2,22,29,33,36,45,20,"$2,618,560"
"09 December, 2019",21,22,27,30,39,44,46,"$1,137,805"
"05 December, 2019",2,9,14,26,30,47,34,"$8,936,944"
"02 December, 2019",1,14,15,25,34,35,36,"$4,704,568"
"28 November, 2019",6,30,34,45,46,48,32,"$2,506,571"
"25 November, 2019",3,6,16,35,38,46,23,"$1,075,947"
"21 November, 2019",1,4,16,18,30,32,37,
"18 November, 2019",1,16,17,20,21,30,29,
"14 November, 2019",2,9,16,21,36,49,31,"$2,626,300"
"11 November, 2019",3,20,29,30,39,41,6,"$1,179,015"
"07 November, 2019",5,26,28,30,34,46,42,"$5,084,654"
"04 November, 2019",3,8,9,38,41,44,34,"$2,818,874"
"31 October, 2019",13,30,33,36,44,47,14,"$1,144,636"
"28 October, 2019",5,19,20,27,34,36,24,"$9,206,719"
"24 October, 2019",14,24,25,29,43,44,7,"$4,742,091"
"21 October, 2019",5,13,28,38,47,48,40,"$2,544,768"
"17 October, 2019",2,35,37,42,43,47,44,
"14 October, 2019",4,5,14,25,26,45,29,"$9,348,726"
"10 October, 2019",4,18,26,32,34,45,33,"$4,894,220"
"07 October, 2019",12,13,26,36,41,46,5,"$2,611,898"
"03 October, 2019",1,12,24,45,46,48,29,"$1,068,804"
"30 September, 2019",10,13,16,38,42,47,11,"$1,127,768"
"26 September, 2019",9,19,30,34,35,46,49,"$4,719,170"
"23 September, 2019",9,10,25,29,41,44,43,"$2,576,040"
"19 September, 2019",14,22,24,31,45,47,29,"$1,073,275"
"16 September, 2019",9,17,29,32,36,40,30,"$1,141,605"
"12 September, 2019",7,10,30,33,44,45,46,"$4,765,028"
"09 September, 2019",10,19,25,36,44,49,27,"$2,605,291"
"05 September, 2019",17,18,27,42,47,48,37,"$1,073,636"
"02 September, 2019",1,5,18,20,33,44,48,"$1,146,091"
"29 August, 2019",6,22,33,40,45,47,49,
"26 August, 2019",7,18,23,40,44,48,35,"$9,061,108"
"22 August, 2019",1,14,25,28,29,38,31,"$4,685,371"
"19 August, 2019",2,6,19,20,26,45,30,"$2,582,601"
"15 August, 2019",3,11,27,29,40,42,1,"$1,080,247"
"12 August, 2019",33,34,36,37,44,49,16,"$1,124,042"
"08 August, 2019",1,4,5,22,27,34,41,"$1,102,324"
"05 August, 2019",4,15,16,20,21,26,18,"$4,908,646"
"01 August, 2019",3,8,22,30,31,48,42,"$2,610,552"
"29 July, 2019",4,10,24,32,37,44,31,"$1,122,506"
"25 July, 2019",4,5,29,30,31,33,41,"$1,090,926"
"22 July, 2019",7,23,30,34,43,47,2,"$4,874,088"
"18 July, 2019",14,20,25,28,31,42,9,"$2,584,334"
"15 July, 2019",4,15,30,35,36,43,24,"$1,110,238"
"11 July, 2019",6,12,28,43,45,47,16,"$9,334,206"
"08 July, 2019",9,11,22,23,24,29,49,"$4,861,880"
"04 July, 2019",7,9,21,34,36,45,27,"$2,589,257"
"01 July, 2019",5,7,27,30,38,48,15,"$1,122,823"
"27 June, 2019",1,4,25,36,41,47,26,"$4,676,276"
"24 June, 2019",8,17,25,32,41,48,21,"$2,547,773"
"20 June, 2019",8,19,25,26,29,34,7,"$1,076,819"
"17 June, 2019",6,20,29,36,40,43,10,"$2,649,770"
"13 June, 2019",1,3,10,14,22,39,24,"$1,106,580"
"10 June, 2019",10,11,15,17,19,46,4,"$1,165,836"
"06 June, 2019",21,24,28,31,32,38,4,"$2,670,599"
"03 June, 2019",3,4,12,19,27,30,31,"$1,153,792"
"30 May, 2019",4,12,21,30,31,44,3,"$9,276,338"
"27 May, 2019",5,9,17,21,22,32,34,"$4,928,170"
"23 May, 2019",12,20,22,31,32,46,38,"$2,648,002"
"20 May, 2019",7,18,24,46,47,48,10,"$1,148,990"
"16 May, 2019",5,7,9,15,38,45,29,"$4,733,295"
"13 May, 2019",2,3,19,21,23,31,1,"$2,601,820"
"09 May, 2019",5,10,11,18,26,49,4,"$1,094,614"
"06 May, 2019",5,6,13,26,32,41,18,"$2,640,034"
"02 May, 2019",10,15,24,35,42,47,11,"$1,096,916"
"29 April, 2019",4,10,26,31,39,48,19,"$4,994,279"
"25 April, 2019",1,7,14,15,32,38,39,"$2,654,138"
"22 April, 2019",12,13,19,23,24,44,14,"$1,152,267"
"18 April, 2019",6,15,28,33,45,47,43,"$2,781,777"
"15 April, 2019",8,19,25,34,35,47,30,"$1,204,684"
"11 April, 2019",5,12,13,17,29,47,4,"$9,632,713"
"08 April, 2019",9,19,20,24,28,49,36,"$5,158,257"
"04 April, 2019",4,17,20,21,33,39,27,"$2,685,774"
"01 April, 2019",7,12,22,30,31,36,2,"$1,151,762"
"28 March, 2019",2,15,20,26,29,44,43,"$9,489,525"
"25 March, 2019",6,13,23,26,34,37,15,"$5,001,090"
"21 March, 2019",2,5,12,13,15,31,36,"$2,626,370"
"18 March, 2019",2,5,8,17,43,47,25,"$1,163,643"
"14 March, 2019",2,4,17,21,25,46,44,"$5,079,915"
"11 March, 2019",6,23,26,27,34,49,32,"$2,790,692"
"07 March, 2019",1,2,13,29,41,43,34,"$1,184,210"
"04 March, 2019",1,6,7,16,39,40,12,"$5,306,324"
"28 February, 2019",20,24,27,39,43,48,8,"$2,734,011"
"25 February, 2019",9,12,27,28,38,44,10,"$1,167,738"
"22 February, 2019",5,8,14,16,34,39,23,"$13,615,434"
"18 February, 2019",25,26,29,31,46,49,21,"$1,615,432"
"14 February, 2019",2,10,12,20,24,32,31,"$1,386,522"
"11 February, 2019",9,10,15,33,39,40,41,
"07 February, 2019",5,7,9,11,35,49,31,"$3,095,780"
"04 February, 2019",6,15,21,30,46,47,34,"$1,332,927"
"01 February, 2019",5,11,16,17,22,27,10,"$5,000,000"
"28 January, 2019",6,11,19,33,35,38,45,"$2,941,606"
"24 January, 2019",3,4,18,32,41,44,34,"$1,177,344"
"21 January, 2019",7,38,40,45,46,47,21,"$2,895,779"
"17 January, 2019",5,10,22,30,42,48,13,"$1,172,595"
"14 January, 2019",10,13,21,27,34,40,41,"$9,588,137"
"11 January, 2019",1,2,13,18,41,47,46,"$5,000,000"
"07 January, 2019",1,2,36,39,41,42,37,"$1,203,503"
"03 January, 2019",12,22,26,37,40,47,33,"$9,731,377"
"31 December, 2018",8,13,18,28,43,49,6,"$5,017,919"
